C,a,b,c,d,e,f,s,x,y,ch,xx,yy,year
ABBEYDALE,606,603,641,609,623,520,NE,740,260,771,5,45,2018
ACADIA,1160,1284,1439,1324,1411,1442,SW,240,300,300,15,50,2017
ALBERT PARK/RADISSON HEIGHTS,1243,1274,1334,1541,1473,1628,S,450,300,621,25,55,2016
ALTADORE,586,511,568,642,606,555,C,170,200,708,35,60,2015
APPLEWOOD PARK,402,353,414,521,418,424,S,740,280,612,45,65,2014
ARBOUR LAKE,843,791,846,882,868,993,NW,-25,-30,630,55,70,2013
ASPEN WOODS,162,195,263,284,307,293,W,-80,140
AUBURN BAY,277,343,587,567,717,532,SE,500,480
BANFF TRAIL,610,626,759,783,842,772,C,210,55
BANKVIEW,753,826,1010,1146,1063,1208,C,170,160
BAYVIEW,56,51,67,73,66,54,SW,80,280
BEDDINGTON HEIGHTS,748,792,851,794,816,709,N,380,-40
BEL-AIRE,19,4,22,35,25,30,C,220,220
BONAVISTA DOWNS,54,72,73,76,34,36,SW,350,350
BOWNESS,1732,1820,1544,1427,1714,1727,NW,-30,10
BRAESIDE,413,330,409,429,365,377,SW,125,320
BRENTWOOD,589,655,759,697,704,818,NW,130,10
BRIDGELAND/RIVERSIDE,1092,1184,1410,1495,1538,1510,C,530,70
BRIDLEWOOD,428,402,460,502,474,477,SW,80,440
BRITANNIA,33,50,72,95,66,70,C,230,200
CAMBRIAN HEIGHTS,115,123,127,143,167,170,C,250,15
CANYON MEADOWS,420,442,541,502,471,421,SW,200,340
CAPITOL HILL,630,612,708,621,715,771,C,280,50
CASTLERIDGE,531,533,633,598,542,521,NE,650,140
CEDARBRAE,384,364,341,303,389,455,SW,80,315
CHAPARRAL,416,386,525,531,523,452,SW,220,460
CHARLESWOOD,165,140,201,211,183,196,NW,160,30
CHINATOWN,226,203,240,246,247,199,C,420,80
CHINOOK PARK,53,64,79,103,87,85,SW,180,260
CHRISTIE PARK,76,76,108,81,87,100,W,10,140
CITADEL,250,269,311,285,277,256,NW,40,-50
CITYSCAPE,7,7,25,72,110,105,NE,680,120
CLIFF BUNGALOW,626,525,791,855,1197,1120,C,350,120
COACH HILL,71,78,124,159,118,134,W,10,100
COLLINGWOOD,159,153,179,165,214,202,NW,180,45
COPPERFIELD,375,404,557,638,488,507,SE,560,440
CORAL SPRINGS,212,221,276,266,253,244,NE,760,190
COUGAR RIDGE,183,159,195,183,173,155,W,-80,100
COUNTRY HILLS,137,138,162,166,156,159,N,250,-40
COUNTRY HILLS VILLAGE,213,236,271,251,266,255,N,430,-70
COVENTRY HILLS,632,673,753,856,805,722,N,560,-70
CRANSTON,494,481,699,717,645,534,SE,450,480
CRESCENT HEIGHTS,870,905,1174,1169,1247,1111,C,420,60
CRESTMONT,32,81,57,60,47,67,W,-100,70
DALHOUSIE,519,519,572,529,522,646,NW,110,-10
DEER RIDGE,327,297,383,375,336,289,SW,320,420
DEER RUN,172,226,243,218,221,208,SW,370,420
DIAMOND COVE,25,34,65,63,39,28,SW,350,300
DISCOVERY RIDGE,181,134,168,171,147,117,W,-80,180
DOUGLASDALE/GLEN,396,424,523,573,574,478,SE,450,420
DOVER,1407,1451,1927,1727,1551,1578,S,450,350
DOWNTOWN EAST VILLAGE,1653,1120,1160,1019,970,1403,C,500,120
DOWNTOWN WEST END,778,512,645,718,600,529,C,230,130
EAGLE RIDGE,71,102,149,142,177,163,SW,120,280
EAU CLAIRE,364,395,522,413,349,406,C,350,80
EDGEMONT,451,420,498,490,555,489,NW,110,-30
ELBOW PARK,197,150,219,247,272,235,C,350,160
ELBOYA,127,129,159,197,223,229,C,300,200
ERIN WOODS,547,545,612,621,606,528,S,500,350
ERLTON,181,174,204,222,186,213,C,430,100
EVANSTON,326,356,449,464,478,515,N,250,-85
EVERGREEN,469,467,568,592,558,480,SW,80,400
FAIRVIEW,297,232,439,392,429,366,SW,250,270
FALCONRIDGE,1463,1370,1447,1538,1333,1468,NE,670,180
FOREST HEIGHTS,797,851,928,893,916,966,S,530,280
FOREST LAWN,2547,2504,2833,2799,2918,2972,S,530,320
GLAMORGAN,397,442,433,528,539,436,W,70,200
GLENBROOK,498,468,530,495,547,529,W,70,180
GLENDALE,225,268,294,341,387,452,W,90,140
GREENVIEW,195,239,281,295,240,272,C,530,10
GREENWOOD,67,50,58,58,53,68,NW,-50,30
